tenid,region,longitude,latitude
E  0402863 ,Kimberley,124.22499932927342,-16.58333042578743
E  0402865 ,Kimberley,125.5833336937453,-18.19166704864235
E  0402665 ,Kimberley,124.84470499459285,-17.574578732664424
E  0402672 ,Kimberley,125.93500189711794,-18.48499959141752
E  0402674 ,Kimberley,124.80200788482743,-18.985678326792964
E  0402677 ,Kimberley,124.80828249909702,-17.60000034135608
E  0402678 ,Kimberley,124.81234220143503,-17.57965126847968
E  0402684 ,Kimberley,124.83408471524972,-18.956822931063652
E  0402717 ,Kimberley,124.60654021737217,-17.009577588523936
E  0402718 ,Kimberley,123.48304873589167,-18.186497733546616
P  4502958 ,Pilbara,119.75640332263326,-21.165460882450198
E  0402767 ,Kimberley,122.14958086125195,-19.25092278454107
E  0402768 ,Kimberley,122.46734963685829,-19.36855352378072
E  0402769 ,Kimberley,122.25557256431081,-19.46315783454412
E  0402770 ,Kimberley,122.87334179035669,-19.354983510810555
E  0402771 ,Kimberley,122.665343086949,-19.355639402205792
E  0402828 ,Kimberley,124.29856591338337,-17.984776544122017
E  0402772 ,Kimberley,123.02555370294677,-19.422474312317576
E  0402784 ,Kimberley,124.49063070937798,-16.890629610490212
E  0402785 ,Kimberley,124.08888955919555,-16.44999353310192
E  0402788 ,,123.68241062383593,-16.10462569968872
E  0402790 ,Kimberley,124.08888955919555,-16.44999353310192
E  0402793 ,,123.47802810172446,-17.189138997125614
E  0402797 ,Kimberley,124.39018771046487,-16.95442039952361
E  0402826 ,Kimberley,125.8645410832628,-18.079241089973443
E  0402838 ,Kimberley,125.4618259386253,-17.69104399405648
E  0402839 ,Kimberley,125.5348685757283,-17.78654902263819
E  0402856 ,,123.43796338243375,-17.076234269839997
E  0402857 ,,123.42500231044988,-17.016667585282228
E  0402858 ,Kimberley,123.5097310716406,-17.276964454510225
E  0402859 ,Kimberley,124.62851749163335,-17.003631800909215
E  0402860 ,Kimberley,124.22500053714292,-16.64166659565836
E  0402861 ,Kimberley,124.17499855355621,-16.591664506750043
E  0402866 ,Kimberley,125.37499989881972,-17.533333452019374
E  0402870 ,Kimberley,125.30208387607598,-17.522919852657505
E  0402871 ,Kimberley,124.64605412765238,-16.83289534955691
E  0402872 ,Kimberley,124.53333843370355,-16.925002668647494
E  0402875 ,Kimberley,125.75500089836244,-18.363329834735673
E  0402876 ,Kimberley,124.60639206463588,-16.98929677263471
E  0402877 ,Kimberley,125.36291032869161,-17.878234702243216
E  0402878 ,Kimberley,124.64166727763015,-17.025000549037596
E  0402879 ,Kimberley,124.10475925980649,-16.772621733048506
E  0402880 ,Kimberley,124.10039316785615,-16.66389242037485
E  0402881 ,Kimberley,124.20694066478012,-16.749025190894237
E  0903002 ,Gascoyne,116.00833326708698,-24.891666771664863
